user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained
a100000062,1/1/18,House Ads,personalization,FALSE,English,English,19-24 years,1/3/18,1/11/18,House Ads,FALSE
a100000063,1/3/18,House Ads,personalization,TRUE,English,English,24-30 years,1/3/18,1/6/18,House Ads,FALSE
a100000063,1/1/18,House Ads,personalization,FALSE,English,English,24-30 years,1/3/18,1/6/18,House Ads,FALSE
a100000064,1/3/18,House Ads,personalization,TRUE,English,English,0-18 years,1/3/18,3/1/18,House Ads,FALSE
a100000064,1/1/18,Push,personalization,FALSE,English,English,0-18 years,1/3/18,3/1/18,House Ads,FALSE
a100000065,1/3/18,House Ads,personalization,TRUE,English,English,19-24 years,1/3/18,4/2/18,House Ads,FALSE
a100000065,1/1/18,House Ads,personalization,FALSE,English,English,19-24 years,1/3/18,4/2/18,House Ads,FALSE
a100000066,1/3/18,House Ads,personalization,TRUE,English,English,24-30 years,1/3/18,3/2/18,House Ads,FALSE
a100000066,1/1/18,House Ads,personalization,FALSE,English,English,24-30 years,1/3/18,3/2/18,House Ads,FALSE
a100000067,1/3/18,House Ads,control,TRUE,English,English,0-18 years,1/3/18,1/5/18,House Ads,FALSE
a100000068,1/3/18,House Ads,control,TRUE,English,English,19-24 years,1/3/18,,House Ads,TRUE
a100000069,1/3/18,House Ads,control,TRUE,English,English,24-30 years,1/3/18,,House Ads,TRUE
a100000070,1/3/18,House Ads,control,TRUE,Spanish,Spanish,30-36 years,1/3/18,,House Ads,TRUE
a100000071,1/3/18,House Ads,control,TRUE,English,English,36-45 years,1/3/18,,House Ads,TRUE
a100000072,1/3/18,House Ads,control,TRUE,German,German,45-55 years,1/3/18,,House Ads,TRUE
a100000073,1/3/18,House Ads,control,TRUE,English,English,55+ years,1/3/18,,House Ads,TRUE
a100000075,1/3/18,House Ads,control,TRUE,English,English,0-18 years,1/3/18,,House Ads,TRUE
a100000076,1/3/18,House Ads,control,TRUE,English,English,19-24 years,1/3/18,,House Ads,TRUE
a100000077,1/3/18,House Ads,control,TRUE,English,English,24-30 years,1/3/18,,House Ads,TRUE
a100000078,1/3/18,House Ads,control,TRUE,English,English,30-36 years,1/3/18,,House Ads,TRUE
a100000079,1/3/18,House Ads,control,TRUE,English,English,36-45 years,1/3/18,,House Ads,TRUE
a100000080,1/4/18,House Ads,control,TRUE,English,English,45-55 years,1/4/18,,House Ads,TRUE
a100000081,1/4/18,House Ads,control,TRUE,English,English,55+ years,1/4/18,,House Ads,TRUE
a100000082,1/4/18,House Ads,control,TRUE,English,English,0-18 years,1/4/18,,House Ads,TRUE
a100000083,1/4/18,House Ads,control,TRUE,English,English,19-24 years,1/4/18,,House Ads,TRUE
a100000085,1/4/18,House Ads,control,TRUE,Spanish,Spanish,24-30 years,1/4/18,,House Ads,TRUE
a100000086,1/4/18,House Ads,control,TRUE,English,English,30-36 years,1/4/18,,House Ads,TRUE
a100000087,1/4/18,House Ads,control,TRUE,English,English,36-45 years,1/4/18,,House Ads,TRUE
a100000088,1/4/18,House Ads,control,TRUE,Spanish,Spanish,45-55 years,1/4/18,1/11/18,House Ads,FALSE
a100000089,1/4/18,House Ads,control,TRUE,English,English,55+ years,1/4/18,2/9/18,House Ads,FALSE
a100000090,1/4/18,House Ads,control,TRUE,English,English,0-18 years,1/4/18,3/25/18,House Ads,FALSE
a100000091,1/4/18,House Ads,control,TRUE,English,English,19-24 years,1/4/18,1/6/18,House Ads,FALSE
a100000092,1/4/18,House Ads,control,TRUE,English,English,24-30 years,1/4/18,3/12/18,House Ads,FALSE
a100000093,1/4/18,House Ads,control,TRUE,English,English,30-36 years,1/4/18,3/10/18,House Ads,FALSE
a100000094,1/4/18,House Ads,control,TRUE,English,English,36-45 years,1/4/18,2/14/18,House Ads,FALSE
a100000095,1/4/18,House Ads,control,TRUE,Spanish,Spanish,45-55 years,1/4/18,1/23/18,House Ads,FALSE
a100000096,1/5/18,House Ads,control,TRUE,English,English,55+ years,1/5/18,2/11/18,House Ads,FALSE
a100000097,1/5/18,House Ads,control,TRUE,English,English,0-18 years,1/5/18,,House Ads,TRUE
a100000098,1/5/18,House Ads,control,TRUE,English,English,19-24 years,1/5/18,,House Ads,TRUE
a100000099,1/5/18,House Ads,control,TRUE,English,English,24-30 years,1/5/18,,House Ads,TRUE
a100000099,1/4/18,House Ads,control,FALSE,English,English,24-30 years,1/5/18,,House Ads,TRUE
a100000100,1/5/18,House Ads,control,TRUE,English,English,30-36 years,1/5/18,,House Ads,TRUE
a100000100,1/4/18,House Ads,control,FALSE,English,English,30-36 years,1/5/18,,House Ads,TRUE
a100000101,1/5/18,House Ads,control,TRUE,English,English,36-45 years,1/5/18,4/13/18,House Ads,FALSE
a100000101,1/4/18,House Ads,control,FALSE,English,English,36-45 years,1/5/18,4/13/18,House Ads,FALSE
a100000102,1/5/18,House Ads,control,TRUE,English,English,45-55 years,1/5/18,4/12/18,House Ads,FALSE
a100000102,1/4/18,House Ads,control,FALSE,English,English,45-55 years,1/5/18,4/12/18,House Ads,FALSE
a100000103,1/5/18,House Ads,control,TRUE,Spanish,Spanish,55+ years,1/5/18,4/3/18,House Ads,FALSE
a100000103,1/4/18,House Ads,control,FALSE,Spanish,Spanish,55+ years,1/5/18,4/3/18,House Ads,FALSE
a100000104,1/5/18,House Ads,control,TRUE,English,English,0-18 years,1/5/18,2/17/18,House Ads,FALSE
a100000104,1/4/18,House Ads,control,FALSE,English,English,0-18 years,1/5/18,2/17/18,House Ads,FALSE
a100000105,1/5/18,House Ads,control,TRUE,English,English,19-24 years,1/5/18,4/14/18,House Ads,FALSE
a100000105,1/4/18,House Ads,control,FALSE,English,English,19-24 years,1/5/18,4/14/18,House Ads,FALSE
a100000107,1/5/18,House Ads,control,TRUE,English,English,24-30 years,1/5/18,1/11/18,House Ads,FALSE
a100000107,1/4/18,House Ads,control,FALSE,English,English,24-30 years,1/5/18,1/11/18,House Ads,FALSE
a100000108,1/5/18,House Ads,control,TRUE,English,English,30-36 years,1/5/18,2/3/18,House Ads,FALSE
a100000108,1/4/18,House Ads,control,FALSE,English,English,30-36 years,1/5/18,2/3/18,House Ads,FALSE
a100000109,1/5/18,House Ads,control,TRUE,Spanish,Spanish,36-45 years,1/5/18,1/8/18,House Ads,FALSE
a100000109,1/4/18,House Ads,control,FALSE,Spanish,Spanish,36-45 years,1/5/18,1/8/18,House Ads,FALSE
a100000110,1/5/18,House Ads,control,TRUE,Spanish,Spanish,45-55 years,1/5/18,1/27/18,House Ads,FALSE
a100000110,1/4/18,House Ads,control,FALSE,Spanish,Spanish,45-55 years,1/5/18,1/27/18,House Ads,FALSE
a100000111,1/5/18,House Ads,control,TRUE,English,English,55+ years,1/5/18,,House Ads,TRUE
a100000111,1/4/18,House Ads,control,FALSE,English,English,55+ years,1/5/18,,House Ads,TRUE
a100000112,1/5/18,House Ads,control,TRUE,English,English,0-18 years,1/5/18,,House Ads,TRUE
a100000112,1/4/18,House Ads,control,FALSE,English,English,0-18 years,1/5/18,,House Ads,TRUE
a100000113,1/5/18,House Ads,control,TRUE,English,English,19-24 years,1/5/18,,House Ads,TRUE
a100000114,1/5/18,House Ads,control,TRUE,English,English,24-30 years,1/5/18,,House Ads,TRUE
a100000127,1/5/18,House Ads,control,TRUE,English,English,30-36 years,1/5/18,,House Ads,TRUE
a100000128,1/5/18,House Ads,control,TRUE,English,English,36-45 years,1/5/18,,House Ads,TRUE
a100000129,1/6/18,House Ads,control,TRUE,English,English,45-55 years,1/6/18,,House Ads,TRUE
a100000130,1/6/18,House Ads,control,TRUE,Spanish,Spanish,55+ years,1/6/18,,House Ads,TRUE
a100000131,1/6/18,House Ads,control,TRUE,English,English,0-18 years,1/6/18,,House Ads,TRUE
a100000132,1/6/18,House Ads,control,TRUE,English,English,19-24 years,1/6/18,,House Ads,TRUE
a100000133,1/6/18,House Ads,control,TRUE,English,English,24-30 years,1/6/18,,House Ads,TRUE
a100000134,1/6/18,House Ads,control,TRUE,English,English,30-36 years,1/6/18,,House Ads,TRUE
a100000150,1/6/18,House Ads,control,TRUE,English,English,36-45 years,1/6/18,,House Ads,TRUE
a100000151,1/6/18,House Ads,control,TRUE,Arabic,Arabic,45-55 years,1/6/18,,House Ads,TRUE
a100000152,1/6/18,House Ads,control,TRUE,Spanish,Spanish,55+ years,1/6/18,,House Ads,TRUE
a100000153,1/6/18,House Ads,control,TRUE,Arabic,Arabic,0-18 years,1/6/18,,House Ads,TRUE
a100000154,1/6/18,House Ads,control,TRUE,English,English,19-24 years,1/6/18,,House Ads,TRUE
a100000155,1/6/18,House Ads,control,TRUE,English,English,24-30 years,1/6/18,,House Ads,TRUE
a100000156,1/6/18,House Ads,control,TRUE,English,English,30-36 years,1/6/18,,House Ads,TRUE
a100000157,1/6/18,House Ads,control,TRUE,English,English,36-45 years,1/6/18,,House Ads,TRUE
a100000162,1/6/18,House Ads,control,TRUE,English,English,45-55 years,1/6/18,,House Ads,TRUE
a100000163,1/6/18,House Ads,control,TRUE,Arabic,Arabic,55+ years,1/6/18,,House Ads,TRUE
a100000164,1/6/18,House Ads,control,TRUE,English,English,0-18 years,1/6/18,3/10/18,House Ads,FALSE
a100000165,1/7/18,House Ads,control,TRUE,Arabic,Arabic,19-24 years,1/7/18,3/11/18,House Ads,FALSE
a100000166,1/7/18,House Ads,control,TRUE,English,English,24-30 years,1/7/18,3/25/18,House Ads,FALSE
a100000167,1/7/18,House Ads,control,TRUE,English,English,30-36 years,1/7/18,2/21/18,House Ads,FALSE
a100000168,1/7/18,House Ads,control,TRUE,English,English,36-45 years,1/7/18,2/25/18,House Ads,FALSE
a100000169,1/7/18,House Ads,control,TRUE,English,English,45-55 years,1/7/18,3/5/18,House Ads,FALSE
a100000170,1/7/18,House Ads,control,TRUE,English,English,55+ years,1/7/18,4/16/18,House Ads,FALSE
a100000171,1/7/18,House Ads,control,TRUE,English,English,0-18 years,1/7/18,2/6/18,House Ads,FALSE
a100000172,1/7/18,House Ads,control,TRUE,German,German,19-24 years,1/7/18,2/5/18,House Ads,FALSE
a100000250,1/7/18,House Ads,control,TRUE,English,English,24-30 years,1/7/18,,House Ads,TRUE
a100000251,1/7/18,House Ads,control,TRUE,English,English,30-36 years,1/7/18,,House Ads,TRUE
a100000252,1/7/18,House Ads,control,TRUE,German,German,36-45 years,1/7/18,,House Ads,TRUE
a100000253,1/7/18,House Ads,control,TRUE,Arabic,Arabic,45-55 years,1/7/18,,House Ads,TRUE
a100000254,1/7/18,House Ads,control,TRUE,English,English,55+ years,1/7/18,,House Ads,TRUE
a100000255,1/7/18,House Ads,control,TRUE,English,English,0-18 years,1/7/18,,House Ads,TRUE
a100000256,1/7/18,House Ads,control,TRUE,English,English,19-24 years,1/7/18,,House Ads,TRUE
a100000257,1/7/18,House Ads,control,TRUE,English,English,24-30 years,1/7/18,,House Ads,TRUE
a100000258,1/7/18,House Ads,control,TRUE,English,English,30-36 years,1/7/18,,House Ads,TRUE
a100000259,1/7/18,House Ads,control,TRUE,English,English,36-45 years,1/7/18,,House Ads,TRUE
a100000260,1/7/18,House Ads,control,TRUE,Spanish,Spanish,45-55 years,1/7/18,1/14/18,House Ads,FALSE
a100000261,1/8/18,House Ads,control,TRUE,English,English,55+ years,1/8/18,3/13/18,House Ads,FALSE
a100000262,1/8/18,House Ads,control,TRUE,English,English,0-18 years,1/8/18,2/22/18,House Ads,FALSE
a100000263,1/8/18,House Ads,control,TRUE,English,English,19-24 years,1/8/18,1/11/18,House Ads,FALSE
a100000264,1/8/18,House Ads,control,TRUE,German,German,24-30 years,1/8/18,3/19/18,House Ads,FALSE
a100000265,1/8/18,House Ads,control,TRUE,German,German,30-36 years,1/8/18,2/10/18,House Ads,FALSE
a100000266,1/8/18,House Ads,control,TRUE,English,English,36-45 years,1/8/18,3/30/18,House Ads,FALSE
a100000267,1/8/18,House Ads,control,TRUE,English,English,45-55 years,1/8/18,1/15/18,House Ads,FALSE
a100000268,1/8/18,House Ads,control,TRUE,English,English,55+ years,1/8/18,2/21/18,House Ads,FALSE
a100000269,1/8/18,House Ads,control,TRUE,English,English,0-18 years,1/8/18,,House Ads,TRUE
a100000270,1/8/18,House Ads,control,TRUE,English,English,19-24 years,1/8/18,,House Ads,TRUE
a100000271,1/8/18,House Ads,control,TRUE,English,English,24-30 years,1/8/18,,House Ads,TRUE
a100000272,1/8/18,House Ads,control,TRUE,English,English,30-36 years,1/8/18,,House Ads,TRUE
a100000273,1/8/18,House Ads,control,TRUE,German,German,36-45 years,1/8/18,,House Ads,TRUE
a100000274,1/8/18,House Ads,control,TRUE,English,English,45-55 years,1/8/18,,House Ads,TRUE
a100000275,1/8/18,House Ads,control,TRUE,Spanish,Spanish,55+ years,1/8/18,,House Ads,TRUE
a100000276,1/8/18,House Ads,control,TRUE,Spanish,Spanish,0-18 years,1/8/18,,House Ads,TRUE
a100000277,1/9/18,House Ads,control,TRUE,Spanish,Spanish,19-24 years,1/9/18,,House Ads,TRUE
a100000278,1/9/18,House Ads,control,TRUE,English,English,24-30 years,1/9/18,,House Ads,TRUE
a100000279,1/9/18,House Ads,control,TRUE,English,English,30-36 years,1/9/18,,House Ads,TRUE
a100000280,1/9/18,House Ads,control,TRUE,English,English,36-45 years,1/9/18,,House Ads,TRUE
a100000281,1/9/18,House Ads,control,TRUE,English,English,45-55 years,1/9/18,,House Ads,TRUE
a100000282,1/9/18,House Ads,control,TRUE,English,English,55+ years,1/9/18,,House Ads,TRUE
a100000283,1/9/18,House Ads,control,TRUE,English,English,0-18 years,1/9/18,,House Ads,TRUE
a100000284,1/9/18,House Ads,control,TRUE,English,English,19-24 years,1/9/18,,House Ads,TRUE
a100000285,1/9/18,House Ads,control,TRUE,English,English,24-30 years,1/9/18,,House Ads,TRUE
a100000286,1/9/18,House Ads,control,TRUE,English,English,30-36 years,1/9/18,,House Ads,TRUE
a100000287,1/9/18,House Ads,control,TRUE,English,English,36-45 years,1/9/18,,House Ads,TRUE
a100000288,1/9/18,House Ads,control,TRUE,English,English,45-55 years,1/9/18,,House Ads,TRUE
a100000289,1/9/18,House Ads,control,TRUE,English,English,55+ years,1/9/18,,House Ads,TRUE
a100000290,1/9/18,House Ads,control,TRUE,English,English,0-18 years,1/9/18,,House Ads,TRUE
a100000291,1/9/18,House Ads,control,TRUE,English,English,19-24 years,1/9/18,,House Ads,TRUE
a100000292,1/9/18,House Ads,control,TRUE,English,English,24-30 years,1/9/18,,House Ads,TRUE
a100000293,1/9/18,House Ads,control,TRUE,English,English,30-36 years,1/9/18,,House Ads,TRUE
a100000294,1/9/18,House Ads,control,TRUE,English,English,36-45 years,1/9/18,1/14/18,House Ads,FALSE
a100000295,1/9/18,House Ads,control,TRUE,English,English,45-55 years,1/9/18,2/4/18,House Ads,FALSE
a100000296,1/9/18,House Ads,control,TRUE,English,English,55+ years,1/9/18,2/4/18,House Ads,FALSE
a100000297,1/10/18,House Ads,control,TRUE,German,German,0-18 years,1/10/18,2/9/18,House Ads,FALSE
a100000298,1/10/18,House Ads,control,TRUE,German,German,19-24 years,1/10/18,1/21/18,House Ads,FALSE
a100000299,1/10/18,House Ads,control,TRUE,English,English,24-30 years,1/10/18,3/7/18,House Ads,FALSE
a100000300,1/10/18,House Ads,control,TRUE,English,English,30-36 years,1/10/18,4/10/18,House Ads,FALSE
a100000301,1/10/18,House Ads,control,TRUE,Spanish,Spanish,36-45 years,1/10/18,4/16/18,House Ads,FALSE
a100000302,1/10/18,House Ads,control,TRUE,English,English,45-55 years,1/10/18,3/26/18,House Ads,FALSE
a100000303,1/10/18,House Ads,control,TRUE,English,English,55+ years,1/10/18,,House Ads,TRUE
a100000304,1/10/18,House Ads,control,TRUE,English,English,0-18 years,1/10/18,,House Ads,TRUE
a100000305,1/10/18,House Ads,control,TRUE,English,English,19-24 years,1/10/18,,House Ads,TRUE
a100000306,1/10/18,House Ads,control,TRUE,English,English,24-30 years,1/10/18,,House Ads,TRUE
a100000307,1/10/18,House Ads,control,TRUE,Spanish,Spanish,30-36 years,1/10/18,,House Ads,TRUE
a100000308,1/10/18,House Ads,control,TRUE,English,English,36-45 years,1/10/18,,House Ads,TRUE
a100000309,1/10/18,House Ads,control,TRUE,English,English,45-55 years,1/10/18,,House Ads,TRUE
a100000310,1/10/18,House Ads,control,TRUE,English,English,55+ years,1/10/18,,House Ads,TRUE
a100000311,1/10/18,House Ads,control,TRUE,English,English,0-18 years,1/10/18,,House Ads,TRUE
a100000312,1/10/18,House Ads,control,TRUE,English,English,19-24 years,1/10/18,,House Ads,TRUE
a100000313,1/10/18,House Ads,control,TRUE,English,English,24-30 years,1/10/18,,House Ads,TRUE
a100000314,1/10/18,House Ads,control,TRUE,Spanish,Spanish,30-36 years,1/10/18,,House Ads,TRUE
a100000315,1/10/18,House Ads,personalization,TRUE,English,English,36-45 years,1/10/18,,House Ads,TRUE
a100000316,1/10/18,House Ads,personalization,TRUE,English,English,45-55 years,1/10/18,,House Ads,TRUE
a100000317,1/10/18,House Ads,personalization,TRUE,Spanish,Spanish,55+ years,1/10/18,4/19/18,House Ads,FALSE
a100000318,1/11/18,House Ads,personalization,TRUE,English,English,0-18 years,1/11/18,3/4/18,House Ads,FALSE
a100000319,1/12/18,House Ads,personalization,TRUE,English,Spanish,19-24 years,1/12/18,1/26/18,House Ads,FALSE
a100000320,1/13/18,House Ads,personalization,TRUE,English,English,24-30 years,1/13/18,4/5/18,House Ads,FALSE
a100000321,1/14/18,House Ads,personalization,TRUE,English,English,30-36 years,1/14/18,1/26/18,House Ads,FALSE
a100000322,1/15/18,House Ads,personalization,TRUE,English,English,36-45 years,1/15/18,3/15/18,House Ads,FALSE
a100000323,1/16/18,House Ads,personalization,TRUE,English,English,45-55 years,1/16/18,4/22/18,House Ads,FALSE
a100000324,1/17/18,House Ads,personalization,TRUE,English,English,55+ years,1/17/18,2/11/18,House Ads,FALSE
a100000325,1/18/18,House Ads,personalization,TRUE,English,English,0-18 years,1/18/18,1/23/18,House Ads,FALSE
a100000326,1/19/18,House Ads,personalization,TRUE,English,English,19-24 years,1/19/18,,House Ads,TRUE
a100000327,1/20/18,House Ads,personalization,TRUE,English,English,24-30 years,1/20/18,,House Ads,TRUE
a100000328,1/21/18,House Ads,personalization,TRUE,English,English,0-18 years,1/21/18,,House Ads,TRUE
a100000328,1/10/18,House Ads,personalization,FALSE,English,English,0-18 years,1/21/18,,House Ads,TRUE
a100000329,1/22/18,House Ads,personalization,TRUE,English,English,19-24 years,1/22/18,,House Ads,TRUE
a100000329,1/10/18,House Ads,personalization,FALSE,English,English,19-24 years,1/22/18,,House Ads,TRUE
a100000330,1/23/18,House Ads,personalization,TRUE,English,English,24-30 years,1/23/18,,House Ads,TRUE
a100000330,1/10/18,Push,personalization,FALSE,English,English,24-30 years,1/23/18,,House Ads,TRUE
a100000331,1/24/18,House Ads,personalization,TRUE,English,English,0-18 years,1/24/18,,House Ads,TRUE
a100000331,1/10/18,House Ads,personalization,FALSE,English,English,0-18 years,1/24/18,,House Ads,TRUE
a100000332,1/25/18,House Ads,personalization,TRUE,English,English,19-24 years,1/25/18,,House Ads,TRUE
a100000332,1/10/18,House Ads,personalization,FALSE,English,English,19-24 years,1/25/18,,House Ads,TRUE
a100000333,1/26/18,House Ads,personalization,TRUE,English,English,24-30 years,1/26/18,,House Ads,TRUE
a100000333,1/10/18,House Ads,personalization,FALSE,English,English,24-30 years,1/26/18,,House Ads,TRUE
a100000334,1/27/18,House Ads,personalization,TRUE,English,English,0-18 years,1/27/18,,House Ads,TRUE
a100000334,1/10/18,Push,personalization,FALSE,English,English,0-18 years,1/27/18,,House Ads,TRUE
a100000335,1/28/18,House Ads,personalization,TRUE,English,Spanish,19-24 years,1/28/18,,House Ads,TRUE
a100000335,1/10/18,Facebook,personalization,FALSE,Spanish,Spanish,19-24 years,1/28/18,,House Ads,TRUE
a100000336,1/29/18,House Ads,personalization,TRUE,English,English,24-30 years,1/29/18,,House Ads,TRUE
a100000336,1/10/18,Instagram,personalization,FALSE,English,English,24-30 years,1/29/18,,House Ads,TRUE
a100000337,1/30/18,House Ads,personalization,TRUE,English,English,0-18 years,1/30/18,2/9/18,House Ads,FALSE
a100000337,1/10/18,Instagram,personalization,FALSE,English,English,0-18 years,1/30/18,2/9/18,House Ads,FALSE
a100000338,1/31/18,House Ads,personalization,TRUE,English,English,19-24 years,1/31/18,4/29/18,House Ads,FALSE
a100000338,1/10/18,Facebook,personalization,FALSE,English,English,19-24 years,1/31/18,4/29/18,House Ads,FALSE
a100000339,1/11/18,House Ads,personalization,TRUE,English,English,24-30 years,1/11/18,3/10/18,House Ads,FALSE
a100000339,1/10/18,House Ads,personalization,FALSE,English,English,24-30 years,1/11/18,3/10/18,House Ads,FALSE
a100000340,1/12/18,House Ads,personalization,TRUE,English,English,0-18 years,1/12/18,3/8/18,House Ads,FALSE
a100000340,1/10/18,House Ads,personalization,FALSE,English,English,0-18 years,1/12/18,3/8/18,House Ads,FALSE
a100000341,1/13/18,House Ads,personalization,TRUE,English,English,19-24 years,1/13/18,4/17/18,House Ads,FALSE
a100000341,1/10/18,House Ads,personalization,FALSE,English,English,19-24 years,1/13/18,4/17/18,House Ads,FALSE
a100000342,1/14/18,House Ads,personalization,TRUE,English,English,24-30 years,1/14/18,3/1/18,House Ads,FALSE
a100000342,1/10/18,House Ads,personalization,FALSE,English,English,24-30 years,1/14/18,3/1/18,House Ads,FALSE
a100000343,1/15/18,House Ads,personalization,TRUE,English,English,30-36 years,1/15/18,3/9/18,House Ads,FALSE
a100000343,1/10/18,Push,personalization,FALSE,English,English,30-36 years,1/15/18,3/9/18,House Ads,FALSE
a100000344,1/16/18,House Ads,personalization,TRUE,English,English,36-45 years,1/16/18,3/7/18,House Ads,FALSE
a100000344,1/10/18,House Ads,personalization,FALSE,English,English,36-45 years,1/16/18,3/7/18,House Ads,FALSE
a100000345,1/17/18,House Ads,personalization,TRUE,English,Spanish,45-55 years,1/17/18,2/8/18,House Ads,FALSE
a100000345,1/10/18,House Ads,personalization,FALSE,Spanish,Spanish,45-55 years,1/17/18,2/8/18,House Ads,FALSE
a100000346,1/18/18,House Ads,personalization,TRUE,English,English,55+ years,1/18/18,,House Ads,TRUE
a100000346,1/10/18,House Ads,personalization,FALSE,English,English,55+ years,1/18/18,,House Ads,TRUE
a100000347,1/19/18,House Ads,personalization,TRUE,English,English,0-18 years,1/19/18,,House Ads,TRUE
a100000347,1/10/18,Push,personalization,FALSE,English,English,0-18 years,1/19/18,,House Ads,TRUE
a100000348,1/20/18,House Ads,personalization,TRUE,English,German,19-24 years,1/20/18,,House Ads,TRUE
